Date,Close,Buy,Sell,Open,High,Low
1965-08-06,  86.07,False,False,  86.07,  86.07,  86.07
1965-08-13,  86.77,False,False,  86.77,  86.77,  86.77
1965-08-20,  86.69,False,False,  86.69,  86.69,  86.69
1965-08-27,  87.20,False,False,  87.20,  87.20,  87.20
1965-09-03,  88.06,False,False,  88.06,  88.06,  88.06
1965-09-10,  89.12,False,False,  89.12,  89.12,  89.12
1965-09-17,  90.05,False,False,  90.05,  90.05,  90.05
1965-09-24,  90.02,False,False,  90.02,  90.02,  90.02
1965-10-01,  89.90,False,False,  89.90,  89.90,  89.90
1965-10-08,  90.85,False,False,  90.85,  90.85,  90.85
1965-10-15,  91.38,False,False,  91.38,  91.38,  91.38
1965-10-22,  91.98,False,False,  91.98,  91.98,  91.98
1965-10-29,  92.42,False,False,  92.42,  92.42,  92.42
1965-11-05,  92.37,False,False,  92.37,  92.37,  92.37
1965-11-12,  92.55,False,False,  92.55,  92.55,  92.55
1965-11-19,  92.24,False,False,  92.24,  92.24,  92.24
1965-11-26,  92.03,False,False,  92.03,  92.03,  92.03
1965-12-03,  91.27,False,False,  91.27,  91.27,  91.27
1965-12-10,  91.80,False,False,  91.80,  91.80,  91.80
1965-12-17,  92.08,False,False,  92.08,  92.08,  92.08
1965-12-23,  92.19,False,False,  92.19,  92.19,  92.19
1965-12-31,  92.43,False,False,  92.43,  92.43,  92.43
1966-01-07,  93.14,False,False,  93.14,  93.14,  93.14
1966-01-14,  93.50,False,False,  93.50,  93.50,  93.50
1966-01-21,  93.47,False,False,  93.47,  93.47,  93.47
1966-01-28,  93.31,False,False,  93.31,  93.31,  93.31
1966-02-04,  93.26,False,False,  93.26,  93.26,  93.26
1966-02-11,  93.81,False,False,  93.81,  93.81,  93.81
1966-02-18,  92.41,False,False,  92.41,  92.41,  92.41
1966-02-25,  91.14,False,False,  91.14,  91.14,  91.14
1966-03-04,  89.24,False,False,  89.24,  89.24,  89.24
1966-03-11,  88.85,False,False,  88.85,  88.85,  88.85
1966-03-18,  88.53,False,False,  88.53,  88.53,  88.53
1966-03-25,  89.54,False,False,  89.54,  89.54,  89.54
1966-04-01,  89.94,False,False,  89.94,  89.94,  89.94
1966-04-07,  91.76,False,False,  91.76,  91.76,  91.76
1966-04-15,  91.99,False,False,  91.99,  91.99,  91.99
1966-04-22,  92.27,False,False,  92.27,  92.27,  92.27
1966-04-29,  91.06,False,False,  91.06,  91.06,  91.06
1966-05-06,  87.84,False,False,  87.84,  87.84,  87.84
1966-05-13,  85.47,False,False,  85.47,  85.47,  85.47
1966-05-20,  85.43,False,False,  85.43,  85.43,  85.43
1966-05-27,  87.33,False,False,  87.33,  87.33,  87.33
1966-06-03,  86.06,False,False,  86.06,  86.06,  86.06
1966-06-10,  86.44,False,False,  86.44,  86.44,  86.44
1966-06-17,  86.51,False,False,  86.51,  86.51,  86.51
1966-06-24,  86.58,False,False,  86.58,  86.58,  86.58
1966-07-01,  85.61,False,False,  85.61,  85.61,  85.61
1966-07-08,  87.61,False,False,  87.61,  87.61,  87.61
1966-07-15,  87.08,False,False,  87.08,  87.08,  87.08
1966-07-22,  85.41,False,False,  85.41,  85.41,  85.41
1966-07-29,  83.60,False,False,  83.60,  83.60,  83.60
1966-08-05,  84.00,False,False,  84.00,  84.00,  84.00
1966-08-12,  83.17,False,False,  83.17,  83.17,  83.17
1966-08-19,  79.62,False,True,  79.62,  79.62,  79.62
1966-08-26,  76.41,False,False,  76.41,  76.41,  76.41
1966-09-02,  77.42,False,False,  77.42,  77.42,  77.42
1966-09-09,  76.29,False,False,  76.29,  76.29,  76.29
1966-09-16,  79.99,True,False,  79.99,  79.99,  79.99
1966-09-23,  77.67,False,False,  77.67,  77.67,  77.67
1966-09-30,  76.56,False,False,  76.56,  76.56,  76.56
1966-10-07,  73.20,False,True,  73.20,  73.20,  73.20
1966-10-14,  76.60,True,False,  76.60,  76.60,  76.60
1966-10-21,  78.19,False,False,  78.19,  78.19,  78.19
